vendor_id,vendor_name,vendor_status,primary_category,buyer_name,planner_name
V1001,Northstar Foods Co,active,Cereal,Alex Carter,Riley Brooks
V1002,Blue Harbor Pantry,active,Snacks,Jordan Park,Morgan Lee
V1003,Cedar Peak Provisions,active,Beverage,Taylor Quinn,Avery Kim
V1004,Suntrail Grocery Works,active,Frozen,Casey Monroe,Drew Patel
V1005,Maple Bridge Supply,active,Household,Parker Lane,Emerson Shaw
V1006,Orbit Harvest Brands,active,Wellness,Reese Logan,Hayden Reese
V1007,Silver Meadow Foods,active,Bakery,Blake Turner,Rowan Ellis
V1008,Crimson Valley Trading,active,Pantry,Skyler West,Cameron Price
V1009,Northstar Foods Co 2,active,Cereal,Alex Carter,Riley Brooks
V1010,Blue Harbor Pantry 2,active,Snacks,Jordan Park,Morgan Lee
V1011,Cedar Peak Provisions 2,active,Beverage,Taylor Quinn,Avery Kim
V1012,Suntrail Grocery Works 2,active,Frozen,Casey Monroe,Drew Patel
